Artikel Nr.;Artikel Nr.;Artikel Nr.
Chargen Verwaltung;Chargen Verwaltung;Chargen Verwaltung
Last Date Modified;Last Date Modified;Aktualisiert am
Modified by;Modified by;Aktualisiert durch
Output;Output;Fertiggestellt
Rest Menge;Rest Menge;Rest Menge
Prod.-Ord. No.;Prod.-Ord. No.;FA Nr.
Simulated,Planned,Firm Planned,Released,Finished;Simulated,Planned,Firm Planned,Released,Finished;Simuliert,Geplant,Fest geplant,Freigegeben,Beendet
Menge;Menge;Menge
Ausschuss;Ausschuss;Scrap
Incl,Excl,Only;Incl,Excl,Only;Inkl,Exkl,Nur
Herkunft Menge;Herkunft Menge;Herkunft Menge
Einkauf,Produktion,Packerei,Technology;Einkauf,Produktion,Packerei,Technology;Einkauf,Produktion
Purch,Prod;Purch,Prod;Eink,Fert
Purch. Unit of Measure;Purch. Unit of Measure;Herkunft Einheit
Lable printed,at Stock,consumtion;Lable printed,at Stock,consumtion;Etikett gedruckt,am Lager,verbraucht
Transaction;Transaction;Transaktion
Vendor No.;Vendor No.;Lieferanten Nr.
Calendar Entry;Calendar Entry;Kalenderposten
%1 must be higher than %2.;%1 must be higher than %2.;%1 muss grösser als %2 sein.
There is redundancy in %1 within the calendar of %2. From %3 to %4. Conflicting time from %5 to %6.;There is redundancy in %1 within the calendar of %2. From %3 to %4. Conflicting time from %5 to %6.;Es gibt Redundanzen in %1 im Kalender von %2 von %3 bis %4 Uhr. Überschneidung von %5 bis %6 Uhr.
Absence Capacity;Absence Capacity;Fehlzeit Kapazität
Absence Efficiency;Absence Efficiency;Fehlzeit Effektivität
Capacity;Capacity;Kapazität
Capacity (Effective);Capacity (Effective);Kapazität (effektiv)
Capacity (Total);Capacity (Total);Kapazität (Total)
Capacity Type;Capacity Type;Kapazitätsart
Work Center,Machine Center;Work Center,Machine Center;Arbeitsplatzgruppe,Arbeitsplatz
Efficiency;Efficiency;Effektivität
Ending Date-Time;Ending Date-Time;Enddatum/-zeit
Ending Time;Ending Time;Endzeit
No.;No.;Nr.
Starting Date-Time;Starting Date-Time;Startdatum/-zeit
Starting Time;Starting Time;Startzeit
Von WZB übernommen (Fusion);Von WZB übernommen (Fusion);Von WZB übernommen (Fusion)
Work Center Group Code;Work Center Group Code;Abteilungscode
Work Center No.;Work Center No.;Arbeitsplatzgruppennr.
Work Shift Code;Work Shift Code;Schichtcode
Chain Group;Chain Group;Unternehmenskette
DebitorNummer;DebitorNummer;Debitoren Nr.
DispoListe;DispoListe;Dispo Liste
MitgliedSkonto%;MitgliedSkonto%;Mitglied Skonto %
MonatsRechnung;MonatsRechnung;Monatsrechnung
Name;Name;Name
RechnungsEmpfänger;RechnungsEmpfänger;Rechnungsempfänger
Mitglied,Verband;Mitglied,Verband;Mitglied,Verband
SammelRechnung;SammelRechnung;Sammelrechnung
VerbandsDelkredere%;VerbandsDelkredere%;Verbands Delkredere %
ZahlungsBedingung;ZahlungsBedingung;Zahlungsbedingung
Colorcode;Colorcode;Farbcode
Customer Item;Customer Item;Kundenartikel
Case Barcode;Case Barcode;Case Barcode
Case Codierung;Case Codierung;Case Codierung
 ,EAN-128,,,ITF; ,EAN-128,,,ITF; ,EAN-128,,,ITF
Count_FF;Count_FF;Anzahl
Kunden Info drucken;Kunden Info drucken;Kunden Info drucken
Kunden Info;Kunden Info;Kunden Info
Reference No.;Reference No.;Referenznr.
Pack. Instr.;Pack. Instr.;Artikel Referenz Nr.
Innerpack Barcode;Innerpack Barcode;Innerpack Barcode
Innerpack Codierung;Innerpack Codierung;Innerpack Codierung
elfo Logo;elfo Logo;elfo Logo
Modified at;Modified at;Aktualisiert am
Our Account No.;Our Account No.;Unsere Kundennr.
RoHS Logo;RoHS Logo;RoHS Logo
Ship-to Code;Ship-to Code;Lief. an Code
Etikett 1;Etikett 1;Etikett 1
Etikett 2;Etikett 2;Etikett 2
Dispatchtype;Dispatchtype;Versandart
Spedi Weiterleitung;Spedi Weiterleitung;Spedi Weiterleitung
 ,LKW,Bahn,Post,Luftfracht,Seefracht,Sonsitge; ,LKW,Bahn,Post,Luftfracht,Seefracht,Sonsitge; ,LKW,Bahn,Post,Luftfracht,Seefracht,Sonsitge
E & I Field;E & I Field;E & I Feld
FieldName;FieldName;Feld Name
FieldNo;FieldNo;Feld Nr.
Selection;Selection;Auswahl
TableNo;TableNo;Tabellen Nr.
Elfo Comment Line;Elfo Comment Line;Elfo Bemerkungsliste
Comment;Comment;Bemerkung
Ident No.;Ident No.;Ident Nr.
Line No.;Line No.;Zeilennr.
System Entry;System Entry;System Eintrag
Table Name;Table Name;Tabellenname
ToolCenter;ToolCenter;Betriebsmittel
Table ID;Table ID;Tabellen ID
Revision Import Log;Revision Import Log;Revision Eingangs Log
Additional Text;Additional Text;Zusatztext
Blocked;Blocked;Gesperrt
Change;Change;Änderung
Checked at;Checked at;Geprüft am
Checked by;Checked by;Geprüft von
Color;Color;Farbe
Description 1;Description 1;Beschreibung 1
Description 2;Description 2;Beschreibung 2
Diameter [cm];Diameter [cm];Durchmesser [cm]
Diameter [mm];Diameter [mm];Durchmesser [mm]
Diameter [m];Diameter [m];Durchmesser [m]
Document No.;Document No.;Belegnr.
Drawing Index No.;Drawing Index No.;Zeichnungs Index
Drawing No.;Drawing No.;Zeichnungs Nr.
Equipment type;Equipment type;Betriebsmittel Art
Heat Treatment;Heat Treatment;Wärme-Behandlung
Height [cm];Height [cm];Höhe [cm]
Height [mm];Height [mm];Höhe [mm]
Index;Index;Index
Length [cm];Length [cm];Länge [cm]
Length [mm];Length [mm];Länge [mm]
Length [m];Length [m];Länge [m]
Material;Material;Hilfsmittel
Mesh size [mm];Mesh size [mm];Maschenweite [mm]
Mesh size [µm];Mesh size [µm];Maschenweite [µm]
Modify Date;Modify Date;Änderungsdatum
Net Weight [g];Net Weight [g];Nettogewicht [g]
Net Weight [kg];Net Weight [kg];Nettogewicht [kg]
Open Area [%];Open Area [%];Offene Siebfläche [%]
Order No.;Order No.;Auftragsnr.
Position No.;Position No.;Pos. Nr.
Project No.;Project No.;Kunden Referenz
Refinement;Refinement;Veredelung
Signed at;Signed at;Gezeichnet am
Signed by;Signed by;Gezeichnet von
Strip width tolerance [mm];Strip width tolerance [mm];Streifenbreite Toleranz [mm]
Strip width [mm];Strip width [mm];Streifenbreite [mm]
Surface Treatment;Surface Treatment;Oberflächen-Behandlung
Thickness tolerance [mm];Thickness tolerance [mm];Dickentoleranz [mm]
Thickness tolerance [µm];Thickness tolerance [µm];Dickentoleranz [µm]
Thickness [mm];Thickness [mm];Dicke [mm]
Thickness [µm];Thickness [µm];Dicke [µm]
Thread / Wire Ø [mm];Thread / Wire Ø [mm];Faden-/ Draht-Ø [mm]
Thread / Wire Ø [µm];Thread / Wire Ø [µm];Faden-/ Draht-Ø [µm]
Type;Type;Art
Variant Code;Variant Code;Variantencode
Vendor;Vendor;Kreditor
Visa;Visa;Visum
Weight;Weight;Gewichtung
Width [cm];Width [cm];Breite [cm]
Width [mm];Width [mm];Breite [mm]
Width [m];Width [m];Breite [m]
Elfo Setup;Elfo Setup;Elfo Einrichtung
Automated Journal Batch Name;Automated Journal Batch Name;Automatisierter Journalstempel Name
Automated Wksh. Temp Name;Automated Wksh. Temp Name;Automatisiertes Arbeitsblatt Name
Prod. BOM Version No. Series;Prod. BOM Version No. Series;Fert. Stücklisten Versions Nr. Serie
Primary Key;Primary Key;Primärschlüssel
Headline RC Prod. Planner;Headline RC Prod. Planner;Headline RC Prod. Planner
Key;Key;Schlüssel
Workdate for computations;Workdate for computations;Arbeitsdatum für Berechnungen
HL Bins;HL Bins;HL Bins
Bin;Bin;Bin
Inventory;Inventory;Lagerbestand
Loation;Loation;Lagerort
Item Amount;Item Amount;Betrag
Amount;Amount;Betrag
Amount 2;Amount 2;Betrag 2
Betrag 3;Betrag 3;Betrag 3
Betrag 4;Betrag 4;Betrag 4
Betrag 5;Betrag 5;Betrag 5
Betrag 6;Betrag 6;Betrag 6
Betrag 7;Betrag 7;Betrag 7
Kreditor No.;Kreditor No.;Kreditor No.
Item Unlocked;Item Unlocked;Artikel entsperrt
Items with LotNo;Items with LotNo;Artikel mit 
Lot. No.;Lot. No.;Chargen Nr.
Location Old New;Location Old New;Lagerort Alt Neu
Bin Mandatory;Bin Mandatory;Lagerplatz notwendig
New Code;New Code;Neuer Code
Old Code;Old Code;Alter Code
Membranetype;Membranetype;Folienart
Ordertype;Ordertype;Bestellart
Bezeichnung;Bezeichnung;Bezeichnung
Packagetype;Packagetype;Verpackungsart
Packing Instruction;Packing Instruction;Verpackungsvorschrift
Laufnr.;Laufnr.;Laufnr.
Datum;Datum;Datum
Prod.;Prod.;PR
Purch.;Purch.;EK
Sales;Sales;VK
Art;Art;Art
 ,Purch,Sales; ,Purch,Sales; ,Einkauf,Verkauf
Pilot Run Management;Pilot Run Management;0-Serie Verwaltung
by;by;durch
at;at;am
Date / Time;Date / Time;Datum / Zeit
ISTR;ISTR;EMPB
 ,Extern,Intern; ,Extern,Intern; ,Extern,Intern
ISTR Date;ISTR Date;EMPB Datum
ISTR No.;ISTR No.;EMPB Nr.
Remarks;Remarks;Bemerkungen
,Pilot-Run,Release Extern,Release Intern,,,,,,Reset;,Pilot-Run,Release Extern,Release Intern,,,,,,Reset;,0-Serie,Freigabe Extern,Freigabe Intern,,,,,,Storno
Prod. Order Add. Costs;Prod. Order Add. Costs;FA Zusatzkosten
Invoice Date;Invoice Date;Rechnung Datum
Invoice No.;Invoice No.;Rechnung Nr.
Linetype;Linetype;Zeilentyp
 ,Construction,Hardening,Administration,Foreignwork,,,,,,,Material; ,Construction,Hardening,Administration,Foreignwork,,,,,,,Material; ,Konstruktion,Härten,Administration,Fremarbeiten,,,,,,,Material
Price in LCY;Price in LCY;Preis in CHF
Productionorder;Productionorder;Produktionsauftrag
Total in LCY;Total in LCY;Total in CHF
Quality Measure Type;Quality Measure Type;Prüfmassnahmenart
Die %1 darf maxmal 15 Zeichen lang sein.;Die %1 darf maxmal 15 Zeichen lang sein.;Die %1 darf maxmal 15 Zeichen lang sein.
,Measuretool,Measureplace,Measureaccuracy,,,,,,,,Qual,Supl;,Measuretool,Measureplace,Measureaccuracy,,,,,,,,Qual,Supl;,Prüfmittel,Prüfort,Prüfschärfe,,,,,,,,QM-System,Bereitst. Systeme
Report Buffer;Report Buffer;Berichts Puffer
Additional Info;Additional Info;Zusatzinfo
CurrKey;CurrKey;Aktueller Schlüssel
S0,S1,S2,S3;S0,S1,S2,S3;S0,S1,S2,S3
Dat_01;Dat_01;Datum 01
Dat_02;Dat_02;Datum 02
Dec_01;Dec_01;Zahl 01
Dec_02;Dec_02;Zahl 02
Dec_03;Dec_03;Zahl 03
Dec_04;Dec_04;Zahl 04
Dec_05;Dec_05;Zahl 05
Dec_06;Dec_06;Zahl 06
Dec_07;Dec_07;Zahl 07
Dec_08;Dec_08;Zahl 08
Dec_09;Dec_09;Zahl 09
Dec_10;Dec_10;Zahl 10
Dec_19;Dec_19;Zahl 19
Sales Amount;Sales Amount;Verk.- Wert
DT_01;DT_01;Datum/Zeit 01
DT_02;DT_02;Datum/Zeit 02
DT_03;DT_03;Datum/Zeit 03
DT_04;DT_04;Datum/Zeit 04
EntryNo;EntryNo;Laufnr.
Key_03;Key_03;Schlüssel 03
Key_04;Key_04;Schlüssel 04
Key_05;Key_05;Schlüssel 05
Key_06;Key_06;Schlüssel 06
Key_07;Key_07;Schlüssel 07
Key_08;Key_08;Schlüssel 08
LineGrp;LineGrp;Zeilen Gruppe
000,001,002,003,004,005,006,007,008,009;000,001,002,003,004,005,006,007,008,009;000,001,002,003,004,005,006,007,008,009
Number;Number;Nummer
Report ID;Report ID;Report ID
Round_OPT;Round_OPT;Runden
SalesLineDesc;SalesLineDesc;Verkaufszeilen Rabatt
 ,Zusätzliche Rechnungspositionen,Rabattpositionen,,,,,,,MwSt; ,Zusätzliche Rechnungspositionen,Rabattpositionen,,,,,,,MwSt; ,Zusätzliche Rechnungspositionen,Rabattpositionen,,,,,,,MwSt
SalesLineGrp;SalesLineGrp;Verkaufszeilen Gruppe
PROJEKT,ZUSATZ,RABATT,,,,,,,MWST;PROJEKT,ZUSATZ,RABATT,,,,,,,MWST;PROJEKT,ZUSATZ,RABATT,,,,,,,MWST
Tim_01;Tim_01;Zeit 01
Tim_02;Tim_02;Zeit 02
Txt_01;Txt_01;Text 01
Txt_02;Txt_02;Text 02
Txt_03;Txt_03;Text 03
Txt_04;Txt_04;Text 04
Txt_05;Txt_05;Text 05
Txt_06;Txt_06;Text 06
Txt_07;Txt_07;Text 07
Txt_08;Txt_08;Text 08
Txt_09;Txt_09;Text 09
Txt_10;Txt_10;Text 10
Unit of Measure;Unit of Measure;Einheit
User ID;User ID;User ID
Requests;Requests;Reportanforderung
"Please set ""%1""";"Please set ""%1""";"Bitte ""%1"" eingeben"
There are no Data.;There are no Data.;Es gibt keine Daten, die der definierten Filtereinstellung entsprechen.
Prepare Statisitc:;Prepare Statisitc:;Statistik Aufbereitung:
Analyzing Data...\\;Analyzing Data...\\;Daten werden analysiert ...\\
Spalten erweitern;Spalten erweitern;Spalten erweitern
Cur. Filename;Cur. Filename;Akt. Datei
Curr. Log No.;Curr. Log No.;Akt. Log Nr.
Cur. Path;Cur. Path;Akt. Pfad
in Currency;in Currency;in Währung
Print in foreign Currency;Print in foreign Currency;in Fremdwährung drucken
Datumsfilter;Datumsfilter;Datumsfilter
Delete Buffer;Delete Buffer;Delete Buffer
Detail No.;Detail No.;Detail Nr.
End Date;End Date;End Datum
Exchange Rate;Exchange Rate;zum Kurs von
Export to Excel;Export to Excel;Export nach Excel
End Delimiter;End Delimiter;End Delimiter
Sart Delimiter;Sart Delimiter;Sart Delimiter
Field Separator;Field Separator;Feld Separator
File Extension;File Extension;Dateierweiterung
Workbook File Name;Workbook File Name;Dateiname
Filetype;Filetype;Dateitype
Datumstempel;Datumstempel;Datumstempel
Zeitstempel;Zeitstempel;Zeitstempel
ItemType;ItemType;Artikeltyp
Sales Item,Consumtion Item,Stock Item,Defaultbox,Box Item,Pack Item;Sales Item,Consumtion Item,Stock Item,Defaultbox,Box Item,Pack Item;Verkaufslagerartikel,Verbrauchsartikel,Lagerartikel,Standardkisten,Kistenartikel,Verpackungsartikel
Language;Language;Sprache
Max;Max;Max Zeilen je Seite
Use Infosheed;Use Infosheed;Infotabellenblatt
Modified at Time;Modified at Time;Aktualisiert um
No. of Copies;No. of Copies;Anzahl Kopien
Obejctname;Obejctname;Objekt Name
Objecttype;Objecttype;Objekt Art
Option;Option;Option
Amount Precision;Amount Precision;Betragspräzision
 ,Thousands,Millions; ,Thousands,Millions; ,Tausend,Millionen
Decimal Precision;Decimal Precision;Decimalpräzision
Print Area;Print Area;Druckbereich
Print at;Print at;Drucken per
Print Caption;Print Caption;Bezeichnung drucken
Print Coversheet;Print Coversheet;Deckblatt drucken
Print Details;Print Details;Details drucken
Printer Name;Printer Name;Druckername
Print no Zerolines;Print no Zerolines;keine Nullzeilen drucken
Request Window;Request Window;Anforderungsfenster
Seite drehen;Seite drehen;Seite drehen
Workbook File Name NEW;Workbook File Name NEW;Speichern als Datei
Worksheetname NEW;Worksheetname NEW;Speichern als Blatt
Update Workbook;Update Workbook;Arbeitsmappe aktualisieren
Report Header;Report Header;Überschrift
Worksheet Name;Worksheet Name;Tabellenblatt
Start Date;Start Date;Start Datum
Statistic No.;Statistic No.;Statitstik Nr.
Save Statistic;Save Statistic;Statistik speichern
Usercode;Usercode;Benutzer
Storage Type;Storage Type;Speicherungsart
 ,Embedded,Disk Filesystem; ,Embedded,Disk Filesystem; ,Eingebettet,Dateisystem
System Printer;System Printer;System Drucker
Vorlagenfilter;Vorlagenfilter;Vorlagenfilter
NoDef,Open,Create,Copy,Import,Export,Remove,,,,Delete;NoDef,Open,Create,Copy,Import,Export,Remove,,,,Delete;NoDef,Öffnen,Erstellen,Kopieren,Importieren,Exportieren,Entfernen,,,,Löschen
Total on new Page;Total on new Page;Total auf neue Seite
Filter anwenden;Filter anwenden;Use Filter
Give Usercontrol;Give Usercontrol;Excel öffnen
Log schreiben;Log schreiben;Log schreiben
Sales Header Migration;Sales Header Migration;Verkaufskopf Migration
Act. Delivery;Act. Delivery;Akt. Lieferung
Allow Line Disc.;Allow Line Disc.;Zeilenrabatt zulassen
Amount Including VAT;Amount Including VAT;Betrag inkl. MWST
Amount Shipped Not Invoiced (LCY) Incl. VAT;Amount Shipped Not Invoiced (LCY) Incl. VAT;Gelieferte, nicht fakturierte Menge (MW) inkl. MWST
Amount Shipped Not Invoiced (LCY);Amount Shipped Not Invoiced (LCY);Gelieferte, nicht fakturierte Menge (MW)
Applies-to Doc. No.;Applies-to Doc. No.;Ausgleich mit Belegnr.
Applies-to Doc. Type;Applies-to Doc. Type;Ausgleich mit Belegart
 ,Payment,Invoice,Credit Memo,Finance Charge Memo,Reminder,Refund; ,Payment,Invoice,Credit Memo,Finance Charge Memo,Reminder,Refund; ,Zahlung,Rechnung,Gutschrift,Zinsrechnung,Mahnung,Erstattung
Applies-to ID;Applies-to ID;Ausgleichs-ID
Area;Area;Ursprungsregion
Assigned User ID;Assigned User ID;Zugewiesene Benutzer-ID
Bal. Account No.;Bal. Account No.;Gegenkontonr.
Bal. Account Type;Bal. Account Type;Gegenkontoart
G/L Account,Bank Account;G/L Account,Bank Account;Fibukonto,Bankkonto
Bill-to Address;Bill-to Address;Rech. an Adresse
Bill-to Address 2;Bill-to Address 2;Rech. an Adresse 2
Bill-to City;Bill-to City;Rech. an Ort
Bill-to Contact;Bill-to Contact;Rech. an Kontakt
Bill-to Contact No.;Bill-to Contact No.;Rech. an Kontaktnr.
Bill-to Country/Region Code;Bill-to Country/Region Code;Rech. an Länder-/Regionscode
Bill-to County;Bill-to County;Rech. an Kanton
Bill-to Customer No.;Bill-to Customer No.;Rech. an Deb.-Nr.
Bill-to Customer Template Code;Bill-to Customer Template Code;Rech. an Deb.-Vorlagencode
Bill-to IC Partner Code;Bill-to IC Partner Code;Rech. an IC-Partnercode
Bill-to Name;Bill-to Name;Rech. an Name
Bill-to Name 2;Bill-to Name 2;Rech. an Name 2
Bill-to Post Code;Bill-to Post Code;Rech. an PLZ
Valid from;Valid from;Laufzeitbeginn
Blanketordertype;Blanketordertype;Rahmenauftragsart
 ,Blanket Order,Consignment; ,Blanket Order,Consignment; ,Rahmenauftrag,Konsignation
Valid until;Valid until;Laufzeitende
Campaign No.;Campaign No.;Kampagnennr.
Combine Shipments;Combine Shipments;Sammelrechnung
Competition;Competition;Konkurrenz
Competitor Price;Competitor Price;Konkurrenz Preis
Completely Shipped;Completely Shipped;Komplettlieferung (Ausgang)
Compress Prepayment;Compress Prepayment;Vorauszahlung komprimieren
Correction;Correction;Storno
Currency Code;Currency Code;Währungscode
Currency Factor;Currency Factor;Währungsfaktor
Customer Disc. Group;Customer Disc. Group;Debitorenrabattgruppe
Customer Posting Group;Customer Posting Group;Debitorenbuchungsgruppe
Customer Price Group;Customer Price Group;Debitorenpreisgruppe
Date Filter;Date Filter;Datumsfilter
Decision Date;Decision Date;Entscheid bis
Dimension Set ID;Dimension Set ID;Dimensionssatz-ID
Direct Debit Mandate ID;Direct Debit Mandate ID;Basislastschrift-Mandat-ID
Doc. No. Occurrence;Doc. No. Occurrence;Belegnr.-Häufigkeit
Document Date;Document Date;Belegdatum
Document Type;Document Type;Belegart
Quote,Order,Invoice,Credit Memo,Blanket Order,Return Order;Quote,Order,Invoice,Credit Memo,Blanket Order,Return Order;Offerte,Auftrag,Rechnung,Gutschrift,Rahmenauftrag,Reklamation
Due Date;Due Date;Fälligkeitsdatum
EU 3-Party Trade;EU 3-Party Trade;EU-Dreiecksgeschäft
Exit Point;Exit Point;Einladehafen
Expected Order Inflow;Expected Order Inflow;Erwarteter Auftragseingang
Export Text;Export Text;Export Text
External Document No.;External Document No.;Externe Belegnummer
Filed Date;Filed Date;Abgelegt am
Filed User ID;Filed User ID;Abgelegt von
Followup Date;Followup Date;Nachfassdatum
Gen. Bus. Posting Group;Gen. Bus. Posting Group;Geschäftsbuchungsgruppe
Get Shipment Used;Get Shipment Used;"""Lieferung abrufen"" verwendet"
Gross Weight;Gross Weight;Bruttogewicht (kg)
IC Direction;IC Direction;IC-Richtung
Outgoing,Incoming;Outgoing,Incoming;Ausgehend,Eingehend
IC Status;IC Status;IC-Status
New,Pending,Sent;New,Pending,Sent;Neu,Offen,Gesendet
Id;Id;ID
Incoming Document Entry No.;Incoming Document Entry No.;Lfd. Nr. eingehender Beleg
Invoice;Invoice;Rechnung
Invoice Disc. Code;Invoice Disc. Code;Rechnungsrabattcode
Invoice Discount Amount;Invoice Discount Amount;Rechnungsrab.-Betrag
Invoice Discount Calculation;Invoice Discount Calculation;Rechnungsrab.-Berechnung
None,%,Amount;None,%,Amount;Kein,%,Betrag
Invoice Discount Value;Invoice Discount Value;Rechnungsrab.-Wert
IsTest;IsTest;IsTest
Job Queue Entry ID;Job Queue Entry ID;Aufgabenwarteschlange - Posten-ID
Job Queue Status;Job Queue Status;Aufgabenwarteschlange - Status
 ,Scheduled for Posting,Error,Posting; ,Scheduled for Posting,Error,Posting; ,Geplant für Buchung,Fehler,Buchung
Last Email Notif Cleared;Last Email Notif Cleared;Letzte Benachrichtigungs-E-Mail gelöscht
Last Email Sent Status;Last Email Sent Status;Status der letzten gesendeten E-Mail
Not Sent,In Process,Finished,Error;Not Sent,In Process,Finished,Error;Nicht gesendet,In Bearbeitung,Fertig,Fehler
Last Email Sent Time;Last Email Sent Time;Zeitpunkt der letzten gesendeten E-Mail
Last Posting No.;Last Posting No.;Letzte Buchungsnr.
Last Prepayment No.;Last Prepayment No.;Letzte Vorauszahlungsnr.
Last Prepmt. Cr. Memo No.;Last Prepmt. Cr. Memo No.;Letzte Vorauszahlungs-Gutschriftnr.
Last Return Receipt No.;Last Return Receipt No.;Letzte Rücksendungsnr.
Last Shipment Date;Last Shipment Date;Letztes Lieferungsdatum
Last Shipping No.;Last Shipping No.;Letzte Lieferscheinnr.
Late Order Shipping;Late Order Shipping;Fällige Lieferung
Line Discount;Line Discount;Zeilenrabatt
Location Filter;Location Filter;Lagerortfilter
Net Weight;Net Weight;Nettogewicht (kg)
No. of Archived Versions;No. of Archived Versions;Anz. archivierter Versionen
No. Printed;No. Printed;Anzahl gedruckt
No. Series;No. Series;Nummernserie
On Hold;On Hold;Abwarten
Opportunity No.;Opportunity No.;Verkaufschancennr.
Order Class;Order Class;Auftragsgruppe
Order Date;Order Date;Auftragsdatum
Outbound Whse. Handling Time;Outbound Whse. Handling Time;Ausgeh. Lagerdurchlaufzeit
Package Tracking No.;Package Tracking No.;Pakettrackingnr.
Packingcode 1;Packingcode 1;Verpackung 2
Packingunit 2;Packingunit 2;Anzahl Verp. 2
Packingunit 1;Packingunit 1;Anzahl Verp. 1
Payment Discount %;Payment Discount %;Skonto %
Payment Instructions Id;Payment Instructions Id;Zahlungsanweisungen-ID
Payment Method Code;Payment Method Code;Zahlungsformcode
Payment Service Set ID;Payment Service Set ID;Zahlungsverkehr-Satz-ID
Payment Terms Code;Payment Terms Code;Zlg.-Bedingungscode
